size,sdscale,partition_type,time
6,1,p2,0.3899999998975545
6,1,p1,0.1299999998882413
6,1,p2,0.11000000010244548
6,1,p1,0.11000000010244548
6,1,p2,0.13000000012107193
6,1,p1,0.11000000010244548
6,1,p2,0.1299999998882413
6,1,p1,0.10999999986961484
6,1,p2,0.1299999998882413
6,2,p1,0.3700000001117587
6,2,p2,0.38000000012107193
6,2,p1,0.3600000001024455
6,2,p2,0.3799999998882413
6,2,p1,0.36999999987892807
6,2,p2,0.3700000001117587
6,2,p1,0.38000000012107193
6,2,p2,0.3700000001117587
6,2,p1,0.36999999987892807
6,2,p2,0.3899999998975545
6,2,p1,0.25
6,2,p2,0.25
6,2,p1,0.47999999998137355
6,2,p2,0.5
6,2,p1,0.36999999987892807
6,2,p2,0.35999999986961484
6,2,p1,0.25
6,2,p2,0.25
6,2,p1,0.12000000011175871
6,2,p2,0.12000000011175871
6,3,p1,0.6399999998975545
6,3,p2,0.6099999998696148
6,3,p1,0.3799999998882413
6,3,p2,0.39000000013038516
6,3,p1,0.38000000012107193
6,3,p2,0.3799999998882413
6,3,p1,0.5
6,3,p2,0.5
6,3,p1,0.5
6,3,p2,0.5
6,3,p1,0.25
6,3,p2,0.5200000000186265
6,3,p1,0.47999999998137355
6,3,p2,0.5100000000093132
6,3,p1,0.25
6,3,p2,0.4199999999254942
6,3,p1,0.6300000001210719
6,3,p2,0.6300000001210719
6,3,p1,0.6100000001024455
6,3,p2,0.6099999998696148
6,4,p1,0.25
6,4,p2,0.25
6,4,p1,0.5
6,4,p2,0.5
6,4,p1,0.4899999999906868
6,4,p2,0.5
6,4,p1,0.36999999987892807
6,4,p2,0.3700000001117587
6,4,p1,0.5
6,4,p2,0.5
6,4,p1,0.5200000000186265
6,4,p2,0.5800000000745058
6,4,p1,1.0800000000745058
6,4,p2,0.8600000001024455
6,4,p1,0.5700000000651926
6,4,p2,0.6099999998696148
6,4,p1,0.6499999999068677
6,4,p2,0.6000000000931323
6,4,p1,0.4599999999627471
6,4,p2,0.47999999998137355
6,5,p1,0.47999999998137355
6,5,p2,0.4699999999720603
6,5,p1,0.6999999999534339
6,5,p2,0.6799999999348074
6,5,p1,0.5400000000372529
6,5,p2,0.5600000000558794
6,5,p1,0.5400000000372529
6,5,p2,0.5300000000279397
6,5,p1,0.6700000001583248
6,5,p2,0.6899999999441206
6,5,p1,0.7000000001862645
6,5,p2,0.6499999999068677
6,5,p1,0.7099999999627471
6,5,p2,0.659999999916181
6,5,p1,0.39999999990686774
6,5,p2,0.42000000015832484
6,5,p1,0.5300000000279397
6,5,p2,0.5100000000093132
6,5,p1,0.5700000000651926
6,5,p2,0.5100000000093132
6,6,p1,0.5500000000465661
6,6,p2,0.5200000000186265
6,6,p1,0.6799999999348074
6,6,p2,0.659999999916181
6,6,p1,0.39000000013038516
6,6,p2,0.40999999991618097
6,6,p1,0.5200000000186265
6,6,p2,0.5300000000279397
6,6,p1,0.6499999999068677
6,6,p2,0.6899999999441206
6,6,p1,0.7099999999627471
6,6,p2,0.5300000000279397
6,6,p1,0.5
6,6,p2,0.6500000001396984
6,6,p1,0.6399999998975545
6,6,p2,0.6399999998975545
6,6,p1,0.42000000015832484
6,6,p2,0.3899999998975545
6,6,p1,0.659999999916181
6,6,p2,0.6600000001490116
7,1,p1,0.25
7,1,p2,0.2800000000279397
7,1,p1,0.4000000001396984
7,1,p2,0.39999999990686774
7,1,p1,0.1299999998882413
7,1,p2,0.15999999991618097
7,1,p1,0.14000000013038516
7,1,p2,0.12000000011175871
7,1,p1,0.13999999989755452
7,1,p2,0.1299999998882413
7,1,p1,0.4400000001769513
7,1,p2,0.43999999994412065
7,1,p1,0.4000000001396984
7,1,p2,0.4100000001490116
7,1,p1,0.11999999987892807
7,1,p2,0.13999999989755452
7,1,p1,0.27000000001862645
7,1,p2,0.27999999979510903
7,1,p1,0.4299999999348074
7,1,p2,0.43000000016763806
7,2,p1,0.840000000083819
7,2,p2,0.8300000000745058
7,2,p1,0.43999999994412065
7,2,p2,0.39000000013038516
7,2,p1,0.5500000000465661
7,2,p2,0.5600000000558794
7,2,p1,0.5100000000093132
7,2,p2,0.5600000000558794
7,2,p1,0.5199999997857958
7,2,p2,0.5300000000279397
7,2,p1,0.4199999999254942
7,2,p2,0.43999999994412065
7,2,p1,0.6899999999441206
7,2,p2,0.7199999999720603
7,2,p1,0.47999999998137355
7,2,p2,0.5
7,2,p1,0.36999999987892807
7,2,p2,0.3799999998882413
7,2,p1,0.38000000012107193
7,2,p2,0.3700000001117587
7,3,p1,0.5
7,3,p2,0.5
7,3,p1,0.3799999998882413
7,3,p2,0.3799999998882413
7,3,p1,0.3700000001117587
7,3,p2,0.3600000001024455
7,3,p1,0.3700000001117587
7,3,p2,0.3799999998882413
7,3,p1,0.6199999998789281
7,3,p2,0.6200000001117587
7,3,p1,0.6200000001117587
7,3,p2,0.6300000001210719
7,3,p1,0.4899999999906868
7,3,p2,0.5
7,3,p1,0.6099999998696148
7,3,p2,0.779999999795109
7,3,p1,0.5
7,3,p2,0.47999999998137355
7,3,p1,0.6300000001210719
7,3,p2,0.6100000001024455
7,4,p1,0.3700000001117587
7,4,p2,0.6199999998789281
7,4,p1,0.5
7,4,p2,0.47999999998137355
7,4,p1,0.7700000000186265
7,4,p2,0.75
7,4,p1,0.7399999999906868
7,4,p2,0.75
7,4,p1,0.6099999998696148
7,4,p2,0.6299999998882413
7,4,p1,0.47999999998137355
7,4,p2,0.5
7,4,p1,0.6200000001117587
7,4,p2,0.6399999998975545
7,4,p1,0.5
7,4,p2,0.47999999998137355
7,4,p1,0.6300000001210719
7,4,p2,0.6200000001117587
7,4,p1,0.5
7,4,p2,0.75
7,5,p1,0.75
7,5,p2,0.75
7,5,p1,0.4899999999906868
7,5,p2,0.5
7,5,p1,0.6199999998789281
7,5,p2,0.6299999998882413
7,5,p1,0.6099999998696148
7,5,p2,0.6300000001210719
7,5,p1,0.7299999999813735
7,5,p2,0.6299999998882413
7,5,p1,0.5
7,5,p2,0.4899999999906868
7,5,p1,0.27000000001862645
7,5,p2,0.25
7,5,p1,0.5
7,5,p2,0.5
7,5,p1,0.6100000001024455
7,5,p2,0.6200000001117587
7,5,p1,0.6000000000931323
7,5,p2,0.6199999998789281
7,6,p1,0.4899999999906868
7,6,p2,0.5
7,6,p1,0.9000000001396984
7,6,p2,0.7299999999813735
7,6,p1,0.6300000001210719
7,6,p2,0.6100000001024455
7,6,p1,0.6200000001117587
7,6,p2,0.6099999998696148
7,6,p1,0.6199999998789281
7,6,p2,0.6299999998882413
7,6,p1,0.6100000001024455
7,6,p2,0.6300000001210719
7,6,p1,0.75
7,6,p2,0.75
7,6,p1,0.6299999998882413
7,6,p2,0.6299999998882413
7,6,p1,0.6200000001117587
7,6,p2,0.6100000001024455
7,6,p1,0.75
7,6,p2,0.7299999999813735
8,1,p1,0.10999999986961484
8,1,p2,0.10999999986961484
8,1,p1,0.39000000013038516
8,1,p2,0.39000000013038516
8,1,p1,0.3700000001117587
8,1,p2,0.3799999998882413
8,1,p1,0.11999999987892807
8,1,p2,0.12000000011175871
8,1,p1,0.12000000011175871
8,1,p2,0.13000000012107193
8,1,p1,0.3600000001024455
8,1,p2,0.3899999998975545
8,1,p1,0.10999999986961484
8,1,p2,0.12000000011175871
8,1,p1,0.38000000012107193
8,1,p2,0.3700000001117587
8,1,p1,0.11999999987892807
8,1,p2,0.10999999986961484
8,1,p1,0.1299999998882413
8,1,p2,0.11000000010244548
8,2,p1,0.3600000001024455
8,2,p2,0.39000000013038516
8,2,p1,0.3799999998882413
8,2,p2,0.3899999998975545
8,2,p1,0.5
8,2,p2,0.47999999998137355
8,2,p1,0.38000000012107193
8,2,p2,0.3799999998882413
8,2,p1,0.5
8,2,p2,0.47999999998137355
8,2,p1,0.5
8,2,p2,0.5100000000093132
8,2,p1,0.39000000013038516
8,2,p2,0.35999999986961484
8,2,p1,0.3899999998975545
8,2,p2,0.3700000001117587
8,2,p1,0.6100000001024455
8,2,p2,0.6300000001210719
8,2,p1,0.6100000001024455
8,2,p2,0.6299999998882413
8,3,p1,0.6099999998696148
8,3,p2,0.6299999998882413
8,3,p1,0.5400000000372529
8,3,p2,0.3600000001024455
8,3,p1,0.5100000000093132
8,3,p2,0.5
8,3,p1,0.6299999998882413
8,3,p2,0.6199999998789281
8,3,p1,0.3700000001117587
8,3,p2,0.38000000012107193
8,3,p1,0.6200000001117587
8,3,p2,0.6199999998789281
8,3,p1,0.6299999998882413
8,3,p2,0.6299999998882413
8,3,p1,0.6100000001024455
8,3,p2,0.6200000001117587
8,3,p1,0.47999999998137355
8,3,p2,0.5
8,3,p1,0.6299999998882413
8,3,p2,0.6299999998882413
8,4,p1,0.75
8,4,p2,0.7299999999813735
8,4,p1,0.6399999998975545
8,4,p2,0.6299999998882413
8,4,p1,0.6199999998789281
8,4,p2,0.6400000001303852
8,4,p1,0.3600000001024455
8,4,p2,0.3700000001117587
8,4,p1,0.75
8,4,p2,0.7299999999813735
8,4,p1,0.75
8,4,p2,0.7600000000093132
8,4,p1,0.75
8,4,p2,0.75
8,4,p1,0.5200000000186265
8,4,p2,0.5
8,4,p1,0.6300000001210719
8,4,p2,0.6100000001024455
8,4,p1,0.6299999998882413
8,4,p2,0.6199999998789281
8,5,p1,0.75
8,5,p2,0.6299999998882413
8,5,p1,0.5
8,5,p2,0.5
8,5,p1,0.6100000001024455
8,5,p2,0.8000000000465661
8,5,p1,0.6200000001117587
8,5,p2,0.6100000001024455
